"IOC","Type","Sources","Max confidence","Last Seen","Detection count"
"4aadb3f9f09b7c4a530823a0c781e696c6194e58fd8603df402387823e701f30","Hash","AlienVault","79","08/23/2025-16:34:34","20"
"73c70b34b5f8f158d38a94b9d7766515","Hash","AlienVault","60","08/10/2025-15:15:55","82"
"dae02f32a21e03ce65412f6e56942daa","Hash","XJunior ,darkfeed ,AlienVault ,US-CERT","90","08/08/2025-22:53:35","85"
"e9eaa065bd6585a1b176e13615fd7e6ef96230a9","Hash","AlienVault","60","07/26/2025-20:02:05","84"
"13e526d5a5a5c4599cab4546732a2744","Hash","AlienVault","60","07/17/2025-11:18:16","4"
"a6c466ff68972caaaf9059e5fb36b9bf","Hash","AlienVault","60","07/09/2025-20:12:10","32"
"78a7a05316929dddcba6788429eeec08b5428590b89b8d272bd79471f0b6a4d8","Hash","AlienVault","70","07/09/2025-08:22:28","28"
"3b98b60a717316cf319ef4df906b4a69","Hash","AlienVault","74","07/06/2025-06:06:05","63"
"0e1db4ecd701ba1e5cb07e9afd436cf1a225d131","Hash","AlienVault","75","07/01/2025-20:44:38","2"
"ffa472e270d16a3a455f5ee53ed448e5","Hash","AlienVault","75","07/01/2025-20:44:38","2"
"134ed0407956ff1ac59f38e89742e357cc3be565cbaff18b424ed1bcfd130978","Hash","AlienVault","75","07/01/2025-20:44:38","2"
"e30fb7845d2cda285b40e57001cfdb71","Hash","AlienVault","60","06/24/2025-06:04:40","1"
"97dc22b3d6a00ef55d774041bc3b615f","Hash","AlienVault","60","06/24/2025-06:04:26","1"
"1d3554048578b03f42424dbf20730a3f","Hash","AlienVault","60","06/22/2025-20:14:11","48"
"02faf3e291435468607857694df5e45b68851868","Hash","AlienVault","60","06/14/2025-12:55:46","49"
"ca3464d4f08c9010e7ffa2fe3e890344","Hash","AlienVault","60","06/14/2025-00:38:09","2"
"9f4693fc0c511135129493f2161d1e86","Hash","AlienVault","60","06/14/2025-00:26:48","10"
